Processing Time, Timestamp, X, Y, Z
1589593742220, 94236, -1424, -7520, 2560
1589593742231, 94247, -1424, -7488, 2496
1589593742243, 94258, -1360, -7440, 2496
1589593742254, 94269, -1344, -7440, 2672
1589593742265, 94280, -1424, -7472, 2528
1589593742275, 94291, -1360, -7488, 2480
1589593742286, 94302, -1328, -7312, 2576
1589593742297, 94313, -1328, -7392, 2480
1589593742308, 94324, -1344, -7456, 2400
1589593742319, 94335, -1248, -7440, 2304
1589593742331, 94346, -1312, -7504, 2144
1589593742342, 94357, -1248, -7488, 2192
1589593742352, 94368, -1360, -7424, 2256
1589593742363, 94379, -1264, -7456, 2336
1589593742374, 94390, -1344, -7504, 2272
1589593742386, 94401, -1360, -7424, 2496
1589593742396, 94412, -1408, -7520, 2464
1589593742407, 94423, -1360, -7392, 2448
1589593742419, 94434, -1280, -7440, 2336
1589593742429, 94445, -1280, -7504, 2208
1589593742440, 94456, -1248, -7456, 2144
1589593742452, 94467, -1248, -7520, 2176
1589593742463, 94478, -1248, -7520, 2272
1589593742473, 94489, -1312, -7520, 2528
1589593742484, 94500, -1264, -7520, 2384
1589593742495, 94511, -1344, -7648, 2384
1589593742507, 94522, -1344, -7680, 2400
1589593742517, 94533, -1264, -7600, 2432
1589593742529, 94544, -1312, -7504, 2400
1589593742540, 94555, -1408, -7408, 2400
1589593742551, 94566, -1312, -7392, 2368
1589593742562, 94577, -1376, -7392, 2416
1589593742572, 94588, -1360, -7280, 2336
1589593742584, 94599, -1296, -7344, 2384
1589593742594, 94610, -1344, -7392, 2304
1589593742605, 94621, -1360, -7344, 2432
1589593742616, 94632, -1280, -7408, 2400
1589593742627, 94643, -1328, -7504, 2448
1589593742638, 94654, -1312, -7488, 2320
1589593742650, 94665, -1264, -7440, 2352
1589593742660, 94676, -1264, -7456, 2416
1589593742672, 94687, -1344, -7312, 2336
1589593742683, 94698, -1296, -7344, 2400
1589593742694, 94709, -1408, -7344, 2448
1589593742704, 94720, -1232, -7376, 2416
1589593742715, 94731, -1280, -7424, 2384
1589593742727, 94742, -1248, -7488, 2544
1589593742737, 94753, -1312, -7472, 2448
1589593742748, 94764, -1296, -7456, 2432
1589593742759, 94775, -1248, -7456, 2432
1589593742770, 94786, -1248, -7472, 2384
1589593742781, 94797, -1216, -7456, 2336
1589593742793, 94808, -1264, -7456, 2352
1589593742804, 94819, -1184, -7424, 2480
1589593742814, 94830, -1248, -7472, 2496
1589593742826, 94841, -1216, -7504, 2512
1589593742837, 94852, -1232, -7456, 2528
1589593742847, 94863, -1248, -7440, 2320
1589593742859, 94874, -1280, -7456, 2528
1589593742869, 94885, -1216, -7568, 2496
1589593742880, 94896, -1248, -7472, 2480
1589593742892, 94907, -1232, -7488, 2480
1589593742902, 94918, -1328, -7488, 2512
1589593742914, 94929, -1296, -7440, 2528
1589593742924, 94940, -1296, -7504, 2416
1589593742935, 94951, -1280, -7440, 2416
1589593742946, 94962, -1184, -7536, 2624
1589593742958, 94973, -1296, -7552, 2496
1589593742969, 94984, -1232, -7520, 2528
1589593742980, 94995, -1296, -7520, 2544
1589593742990, 95006, -1216, -7552, 2544
1589593743002, 95017, -1296, -7584, 2544
1589593743012, 95028, -1248, -7488, 2592
1589593743023, 95039, -1328, -7536, 2624
1589593743035, 95050, -1344, -7472, 2624
1589593743045, 95061, -1440, -7408, 2784
1589593743056, 95072, -1488, -7312, 2992
1589593743067, 95083, -1456, -7152, 2640
1589593743078, 95094, -1248, -7344, 2704
1589593743089, 95105, -1376, -7568, 2848
1589593743100, 95116, -1424, -7648, 2704
1589593743111, 95127, -1360, -7504, 2992
1589593743122, 95138, -1424, -7408, 3072
1589593743133, 95149, -1408, -7376, 3200
1589593743145, 95160, -1392, -7344, 3264
1589593743155, 95171, -1440, -7328, 3264
1589593743167, 95182, -1360, -7344, 3392
1589593743177, 95193, -1424, -7376, 3200
1589593743189, 95204, -1376, -7376, 3264
1589593743200, 95215, -1360, -7376, 3232
1589593743211, 95226, -1408, -7280, 3168
1589593743221, 95237, -1440, -7232, 3248
1589593743232, 95248, -1456, -7184, 3408
1589593743243, 95259, -1472, -7136, 3584
1589593743254, 95270, -1488, -7040, 3552
1589593743266, 95281, -1520, -7024, 3504
1589593743277, 95292, -1408, -7024, 3360
1589593743287, 95303, -1344, -7104, 3360
1589593743299, 95314, -1280, -7184, 3152
1589593743309, 95325, -1200, -7104, 3008
1589593743321, 95336, -1312, -7104, 2960
1589593743331, 95347, -1344, -7040, 2976
1589593743342, 95358, -1376, -7008, 3040
1589593743353, 95369, -1472, -7056, 3232
1589593743364, 95380, -1600, -6896, 3264
1589593743375, 95391, -1600, -6848, 3040
1589593743387, 95402, -1536, -6912, 2688
1589593743397, 95413, -1392, -7120, 2608
1589593743409, 95424, -1408, -7280, 2624
1589593743419, 95435, -1344, -7216, 2592
1589593743431, 95446, -1344, -7104, 2656
1589593743441, 95457, -1312, -7008, 2608
1589593743453, 95468, -1408, -6976, 2608
1589593743463, 95479, -1424, -6992, 2640
1589593743474, 95490, -1440, -7136, 2800
1589593743486, 95501, -1424, -7104, 2944
1589593743497, 95512, -1504, -6992, 2976
1589593743508, 95523, -1536, -6912, 2704
1589593743518, 95534, -1504, -7232, 2288
1589593743530, 95545, -1152, -7600, 2144
1589593743540, 95556, -1056, -7936, 2064
1589593743551, 95567, -976, -7952, 1968
1589593743563, 95578, -992, -7808, 1920
1589593743573, 95589, -1008, -7728, 1840
1589593743585, 95600, -1072, -7760, 1984
1589593743595, 95611, -1024, -7760, 1872
1589593743606, 95622, -1040, -7664, 1952
