 accX_mean, accX_std_deviation, accX_variance, accX_median, accX_min, accX_max, accX_add, accY_mean, accY_std_deviation, accY_variance, accY_median, accY_min, accY_max, accY_add, accZ_mean, accZ_std_deviation, accZ_variance, accZ_median, accZ_min, accZ_max, accZ_add, average_resultant_acceleration,class
6770.666666666668,211.13871164605405,44579.55555555557,6752.0,6432,7024,189.33333333333331,-2224.0,168.31716093930137,28330.66666666667,-2168.0,-2496,-2032,149.33333333333334,4730.666666666667,290.60549815093924,84451.55555555555,4656.0,4352,5184,250.66666666666663,8553.78923180962,Midair-S
6688.0,366.2567405523071,134144.0,6864.0,6032,7056,313.6,-2092.8,434.4699759477057,188764.16,-2304.0,-2480,-1312,375.04,6380.8,749.8795636633928,562319.3600000002,6192.0,5440,7616,642.5600000000002,9477.54000149828,Midair-S
4748.8,540.7337237494995,292392.96000000014,4880.0,4016,5536,477.44,179.2,477.0469159317561,227573.76,304.0,-624,720,412.16,9369.6,701.0556611282732,491479.04,9648.0,8240,10064,641.28,10505.837341211789,Midair-S
3225.6,468.0758912825996,219095.04,3184.0,2496,3952,350.72,1612.8,336.74583887555315,113397.76,1760.0,1056,1968,304.64,9584.0,345.0959286922985,119091.19999999998,9568.0,9136,10080,300.8,10240.052499865418,Midair-S
1827.2,325.1426763745418,105717.76000000002,1888.0,1312,2224,284.16,1536.0,313.3713452120343,98201.6,1600.0,1040,1952,268.8,7916.8,790.497160020199,624885.76,8032.0,6784,8960,701.4399999999998,8268.837770811566,Midair-S
288.0,512.0999902362819,262246.4,128.0,-272,992,480.0,-297.6,620.057287675905,384471.0399999999,-240.0,-1200,608,523.5200000000002,3590.4,1776.8675358619164,3157258.24,3680.0,1072,6080,1528.3200000000004,3614.205572459873,Midair-S
-2137.6,626.4648753122557,392458.23999999993,-2288.0,-2912,-1200,564.48,-2019.2,732.2618111031053,536207.36,-1696.0,-3264,-1344,656.64,-1500.8,1388.3132787667196,1927413.76,-1248.0,-3712,256,1199.36,3301.3486698620613,Midair-S
-3052.8,65.11036783800256,4239.359999999998,-3024.0,-3152,-2976,60.16000000000004,-4550.4,602.4674597021818,362967.0399999999,-4544.0,-5312,-3760,532.4799999999998,-5779.2,1043.9751721185712,1089884.1600000004,-5680.0,-7312,-4416,912.64,7963.973922609241,Midair-S
-2851.2,162.3507314427625,26357.759999999995,-2928.0,-2960,-2528,129.28000000000014,-5334.4,132.55881713413106,17571.84,-5344.0,-5568,-5184,101.12000000000008,-9142.4,688.9741940014881,474685.44,-9152.0,-10064,-8160,593.9200000000002,10962.145892114373,Midair-S
-2646.4,68.33330081300039,4669.44,-2640.0,-2736,-2544,58.88000000000002,-8028.8,1078.9933085983434,1164226.56,-8144.0,-9360,-6368,938.24,-12038.4,839.9375214859733,705495.04,-12080.0,-13232,-10864,721.9200000000002,14710.137217578904,Midair-S
-2438.4,140.0708392207315,19619.840000000007,-2400.0,-2704,-2288,106.24000000000004,-9744.0,177.30425826809687,31436.8,-9840.0,-9888,-9424,153.6,-14275.2,414.9401884609395,172175.36,-14272.0,-14768,-13552,317.44000000000017,17454.87512415944,Midair-S
-4768.0,1020.1427351111216,1040691.2,-4352.0,-6176,-3424,940.8,-8640.0,533.8344312612292,284979.2,-8288.0,-9568,-8160,480.0,-10492.8,1966.0972915906275,3865538.56,-10576.0,-13280,-7568,1648.64,14404.24506317495,Midair-S
-6876.8,360.82039853644636,130191.36000000006,-6704.0,-7504,-6464,309.7600000000001,-9065.6,393.82107612467865,155095.03999999998,-8928.0,-9520,-8528,363.52000000000015,-4022.4,1336.9950785249735,1787555.8400000003,-3728.0,-6112,-2160,1134.08,12068.768924790962,Midair-S
-8172.8,285.3926418112422,81448.95999999998,-8192.0,-8480,-7728,247.04,-6377.6,716.5142287491576,513392.64,-6128.0,-7632,-5712,619.5200000000002,2918.4,2390.522085235775,5714595.839999999,2800.0,-384,6160,2087.6800000000007,10769.65645505928,Midair-S
-7510.4,69.0785060637533,4771.840000000001,-7488.0,-7632,-7440,58.879999999999924,-5632.0,552.4983257893186,305254.40000000014,-5696.0,-6240,-4960,505.6,7462.4,822.1322521346551,675901.4400000002,6896.0,6832,8960,711.68,11992.203547305224,Midair-S
-7296.0,232.96351645697655,54272.0,-7184.0,-7760,-7152,185.6,-4185.6,542.7373582129759,294563.84,-4000.0,-5056,-3600,491.52000000000015,14076.8,2158.646094198861,4659752.959999999,14736.0,10544,16288,1930.24,16398.388994044504,Midair-S
-6883.2,211.8777005727597,44892.16,-7008.0,-7072,-6528,194.56000000000003,-8156.8,1966.2535340082675,3866152.96,-9296.0,-9984,-4784,1776.64,14652.8,554.0160286489914,306933.7600000001,14416.0,14192,15680,456.9599999999999,18127.779133694232,Midair-S
-6723.2,258.2699363069577,66703.36,-6656.0,-7088,-6384,234.23999999999995,-8819.2,211.15150958494235,44584.96,-8800.0,-9104,-8512,183.0400000000001,13513.6,632.3219433168517,399831.04,13680.0,12496,14336,545.28,17481.335527928066,Midair-S
-7462.4,650.2853527490836,422871.0400000001,-7136.0,-8672,-6848,532.4799999999998,-12864.0,1231.8545368670768,1517465.6000000003,-12720.0,-14272,-10784,998.4,9347.2,1057.8117790987203,1118965.7600000002,8960.0,8304,11120,944.64,17565.308354822584,Midair-S
-8886.4,193.48757066023649,37437.44,-8928.0,-9152,-8608,171.5200000000001,-12723.2,1489.1316127193054,2217512.96,-12352.0,-15056,-11136,1341.44,3980.8,2394.0705419849264,5731573.76,4144.0,720,7424,2071.04,16021.69441226489,Midair-S
