 X, Y, Z,class
-512,-7040,2896,muster
-704,-7056,3088,muster
-1136,-7408,2416,muster
-1280,-6864,2976,muster
-976,-4160,9648,muster
-2544,-5856,4784,muster
-2576,-5968,4752,muster
-2624,-6016,4704,muster
-2656,-5936,4480,muster
-2576,-5920,4352,muster
-2368,-5760,4432,muster
-2432,-5648,4608,muster
-2528,-5728,4608,muster
-2384,-5824,4720,muster
-3488,-1952,8016,muster
-2592,-9152,-400,muster
-2096,-3872,7872,muster
-2288,-4976,6288,muster
-2448,-6720,3728,muster
-2288,-5792,5328,muster
-2432,-6288,4512,muster
-2336,-5936,4960,muster
-2400,-6240,4448,muster
-2432,-6144,4368,muster
-1600,-1072,12048,muster
-2688,-8880,256,muster
-1408,-7232,3488,muster
-1760,-7200,3952,muster
-1824,-7136,4656,muster
-1888,-7072,5200,muster
-2160,-6864,5536,muster
-3184,-5792,8688,muster
-3280,-5744,9168,muster
-4144,-5616,9264,muster
-4512,-5664,8912,muster
-4800,-5712,8336,muster
-5008,-5744,7600,muster
-5248,-5824,6816,muster
-4448,-6576,-1584,muster
-4432,-6272,-1440,muster
-4992,-6128,-1072,muster
-4896,-6112,-640,muster
-4864,-5904,-704,muster
-5008,-6016,-976,muster
-5248,-6432,-1216,muster
-5376,-6768,-2160,muster
-6336,-7424,-2928,muster
-6896,-8448,-3792,muster
-7248,-8864,-4400,muster
-7472,-8672,-4864,muster
-8400,-7744,-5568,muster
-9344,-7216,-5504,muster
-9312,-6384,-5264,muster
-9280,-6096,-5392,muster
-9456,-6608,-5904,muster
-9760,-7232,-6256,muster
-9744,-8048,-6624,muster
-10048,-8976,-6800,muster
-10448,-9584,-6800,muster
-10672,-10368,-6912,muster
-11232,-10352,-7408,muster
-12240,-10240,-7824,muster
-12608,-9952,-7936,muster
-16048,-9200,-7344,muster
-16608,-8240,-5584,muster
-16640,-5952,-2784,muster
-16544,-3520,1552,muster
-16672,-1936,6912,muster
-16288,-1488,9280,muster
-15632,-624,9904,muster
-14208,-352,9264,muster
-14000,-1168,9232,muster
-14352,-2256,9760,muster
-13376,-3136,10208,muster
-12112,-2880,11040,muster
-12864,-3744,9152,muster
-10592,-4320,8144,muster
-10384,-3824,7472,muster
-10368,-3648,7792,muster
-10240,-4000,7520,muster
-8848,-4496,6976,muster
-7872,-4768,7344,muster
-7632,-5280,6704,muster
-5824,-5664,5984,muster
-5280,-5952,5152,muster
-2576,-6736,2464,muster
-2400,-6688,2480,muster
-2080,-6640,2144,muster
-1936,-6800,1856,muster
-1840,-7056,1696,muster
-2000,-7216,1392,muster
-2112,-7024,1216,muster
